"","HNO204_37_d23_DIFF_B1","HNO204_MX_d23_DIFF_B1","HNO918_37_d23_DIFF_B1","HNO918_MX_d23_DIFF_B1","HNO919_37_d23_DIFF_B1","HNO919_MX_d23_DIFF_B1","HNO204_37_d23_DIFF_B2","HNO204_MX_d23_DIFF_B2","HNO918_37_d23_DIFF_B2","HNO918_MX_d23_DIFF_B2","HNO919_37_d23_DIFF_B2","HNO919_MX_d23_DIFF_B2"
"ENSG00000075275",10656,10153,20902,15992,9622,9456,5909,8366,14305,11307,11394,3356
"ENSG00000075290",19,26,9,7,12,46,13,5,10,7,10,5
"ENSG00000075292",2154,2650,3244,3284,2554,2167,1140,1945,1643,1531,1484,990
"ENSG00000075303",529,794,945,1145,650,691,313,662,377,471,385,219
"ENSG00000075336",407,550,538,443,404,472,235,532,279,291,256,268
"ENSG00000075340",1,1,0,0,0,2,0,1,3,0,0,0
"ENSG00000075388",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000075391",1425,1757,1657,1575,1574,1364,558,749,743,669,561,287
"ENSG00000075399",532,767,771,745,578,695,741,1273,629,725,638,882
"ENSG00000075407",441,419,604,517,395,392,244,334,337,234,251,103
"ENSG00000075413",1456,1648,1888,2000,1472,1507,1104,1783,1231,1223,1100,903
"ENSG00000075415",6646,9148,8665,9422,5811,7986,6516,15093,6600,9021,7614,8852
"ENSG00000075420",1428,1405,1705,1391,1929,1495,436,742,951,515,722,281
"ENSG00000075426",3399,3585,5067,4220,2960,2966,2300,2927,4315,2685,3222,1079
"ENSG00000075429",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000075461",49,10,164,103,155,91,68,40,192,87,232,48
"ENSG00000075539",1285,1540,1771,1608,1464,1258,473,605,898,642,731,306
"ENSG00000075568",3191,4553,5203,5257,2981,3170,1351,2162,2289,2155,2009,844
"ENSG00000075618",1797,2299,1341,1578,1424,2695,1774,3868,1923,1866,1702,2397
"ENSG00000075624",33894,42368,49749,48506,29074,34679,30175,57219,37542,40072,37891,30056
"ENSG00000075643",303,375,552,746,432,516,292,518,451,342,357,152
"ENSG00000075651",1538,1732,1979,1500,1535,1248,779,975,965,774,936,385
"ENSG00000075673",6129,6741,2665,2828,7188,9255,1448,2324,1589,2055,3390,1278
"ENSG00000075702",160,201,193,249,131,193,156,294,94,183,134,225
"ENSG00000075711",2185,2742,2882,3138,2607,2593,1057,1953,1616,1541,1329,659
"ENSG00000075785",5369,6203,7771,7195,5644,5354,4605,7185,4840,5053,5122,2896
"ENSG00000075790",1026,1303,1166,1212,1146,1162,518,945,503,669,616,342
"ENSG00000075826",134,278,251,220,261,204,163,168,148,73,50,122
"ENSG00000075856",1177,1367,1803,1749,1309,1335,861,1413,1174,1109,1126,769
"ENSG00000075884",0,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000075886",6,3,5,14,9,16,4,6,5,1,9,2
"ENSG00000075891",0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000075914",494,610,678,677,424,591,630,1124,434,613,594,823
"ENSG00000075945",1025,1213,1571,1545,1051,921,536,1017,669,809,721,417
"ENSG00000075975",929,1272,1410,1497,890,867,667,1235,830,853,802,438
"ENSG00000076003",352,609,524,685,310,415,263,818,340,479,380,488
"ENSG00000076043",683,817,959,880,791,823,419,744,436,493,678,471
"ENSG00000076053",534,580,709,751,513,496,391,573,392,390,456,260
"ENSG00000076067",1516,1799,1539,1359,1419,1326,1046,1030,1128,765,990,413
"ENSG00000076108",2495,3133,3625,3301,3017,2908,1532,1861,2480,1808,1835,627
"ENSG00000076201",1921,2007,2242,2145,1750,1892,1409,1476,1662,1339,1378,675
"ENSG00000076242",680,817,1028,875,714,743,554,1011,561,722,703,565
"ENSG00000076248",885,935,1483,1084,820,841,775,1363,1149,1085,1223,747
"ENSG00000076258",435,509,741,673,383,329,201,318,313,316,305,142
"ENSG00000076321",583,656,803,838,624,588,299,471,418,370,348,127
"ENSG00000076344",2,0,3,0,0,1,0,0,0,0,2,2
"ENSG00000076351",277,243,348,250,209,248,154,203,198,158,194,61
"ENSG00000076356",1470,1688,1721,1767,1476,1575,1026,1406,1263,974,1109,458
"ENSG00000076382",327,456,406,491,276,321,238,539,230,340,221,305
"ENSG00000076513",1831,2767,2708,2565,2432,2665,913,1805,1389,1508,1213,723
"ENSG00000076554",1351,1481,1770,1988,1279,1283,1166,1897,1310,1214,1287,738
"ENSG00000076555",669,719,1234,836,716,605,613,634,846,628,756,372
"ENSG00000076604",2593,3372,3464,3218,2671,3139,2880,5234,2751,2918,2747,2951
"ENSG00000076641",69,62,83,102,77,57,3,27,47,18,15,9
"ENSG00000076650",312,393,505,548,379,405,241,438,306,345,373,290
"ENSG00000076662",0,1,3,0,1,1,0,0,0,0,0,0
"ENSG00000076685",1358,2108,1749,1701,1895,1973,674,1251,779,779,783,228
"ENSG00000076706",182,273,333,459,533,757,194,465,276,374,261,378
"ENSG00000076716",1081,1660,959,1019,908,1160,429,1132,519,818,509,318
"ENSG00000076770",761,880,938,855,807,758,335,473,471,363,433,161
"ENSG00000076826",874,826,1604,1160,905,957,1115,1392,1517,1269,1444,1194
"ENSG00000076864",255,223,361,214,248,363,204,391,219,286,256,213
"ENSG00000076924",1249,1457,1814,1561,1091,1209,1252,2267,1450,1630,1538,1747
"ENSG00000076928",1080,1377,1642,1474,1141,1207,1044,1697,1357,1201,1327,1148
"ENSG00000076944",917,873,1562,1121,987,972,1068,1440,1089,964,1387,1485
"ENSG00000076984",1013,927,1335,1085,881,918,1173,1495,1180,969,1071,790
"ENSG00000077009",0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000077044",484,554,574,427,472,525,450,655,448,304,292,205
"ENSG00000077063",69,125,214,172,152,138,22,37,89,72,63,42
"ENSG00000077080",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000077092",577,617,929,819,724,735,373,482,534,437,550,173
"ENSG00000077097",2776,3873,4776,5494,3187,3486,1619,2993,2573,2704,2342,1366
"ENSG00000077147",6268,6879,10678,10723,6759,6952,3174,6256,5293,5667,4879,2255
"ENSG00000077150",1419,1332,1528,1177,1330,1293,1120,1498,1165,928,1202,1182
"ENSG00000077152",126,232,252,304,171,173,163,436,125,248,186,253
"ENSG00000077157",653,897,1381,1231,1329,1190,471,500,740,584,594,396
"ENSG00000077232",2877,3753,4623,4246,3457,3232,1340,3625,2066,2102,1707,1389
"ENSG00000077235",3475,3523,4940,3669,3680,3156,2412,3386,3388,3075,3682,2082
"ENSG00000077238",2539,2308,3096,2247,2364,2304,1974,2652,2462,1796,2363,1178
"ENSG00000077254",1558,1929,2310,2285,1668,1480,723,1325,1095,1059,1006,519
"ENSG00000077264",0,0,0,0,0,0,0,2,0,0,3,0
"ENSG00000077274",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000077279",0,0,0,0,0,0,1,1,0,0,3,0
"ENSG00000077312",706,978,1045,1015,583,819,1135,2160,1001,1339,1141,1501
"ENSG00000077327",4193,5422,6176,5742,2561,2774,2726,5275,1821,2383,1870,976
"ENSG00000077348",254,338,385,365,236,262,323,746,361,402,457,566
"ENSG00000077380",1917,2028,2708,2450,2009,1907,1148,1914,1420,1341,1426,728
"ENSG00000077420",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000077454",401,555,562,539,479,662,327,525,463,288,344,162
"ENSG00000077458",363,649,532,732,490,520,231,574,257,330,156,167
"ENSG00000077463",403,367,543,467,402,429,498,882,540,556,703,774
"ENSG00000077498",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000077514",664,916,1076,1045,594,644,399,734,484,605,527,295
"ENSG00000077522",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000077549",3430,3898,4545,4427,2959,3339,3318,5916,3398,3638,3797,3081
"ENSG00000077585",537,571,790,754,582,558,331,614,462,425,503,188
"ENSG00000077616",8,7,15,9,11,4,1,2,2,3,13,8
"ENSG00000077684",671,685,1121,958,671,534,401,816,602,561,540,420
"ENSG00000077713",702,888,874,823,411,496,676,1148,553,583,542,206
"ENSG00000077721",1708,2188,2465,2667,1768,1706,1344,2454,1331,1597,1614,1052
"ENSG00000077782",287,269,538,433,375,391,338,585,357,234,238,139
"ENSG00000077800",1,0,9,2,0,3,0,1,11,4,9,4
"ENSG00000077935",3,6,6,7,1,5,3,8,6,10,3,2
"ENSG00000077942",1082,1366,1014,1390,1583,1934,1393,2428,1182,1115,1060,1136
"ENSG00000077943",1,1,0,2,0,2,0,8,0,0,0,1
"ENSG00000077984",1,0,1,0,0,0,0,3,0,0,0,0
"ENSG00000078018",96,98,173,232,84,82,38,63,56,76,83,28
"ENSG00000078043",454,731,902,909,506,556,340,541,436,468,406,285
"ENSG00000078053",5,18,13,14,22,5,4,13,1,6,2,1
"ENSG00000078061",1243,1524,1774,1617,1260,1382,1430,2263,1679,1621,1637,1372
"ENSG00000078070",810,960,1529,1295,863,831,547,832,740,735,802,431
"ENSG00000078081",210,363,330,389,347,376,53,171,148,251,189,104
"ENSG00000078098",8,8,3,4,7,1,4,1,3,0,2,1
"ENSG00000078114",2749,3419,5298,5360,3570,3452,1483,2583,2212,2593,2211,911
"ENSG00000078124",552,734,801,890,712,750,391,556,462,404,402,252
"ENSG00000078140",1915,2381,2616,2898,1735,1970,1221,2133,1413,1520,1310,807
"ENSG00000078142",1076,1314,1516,1671,1074,1026,558,894,669,634,657,412
"ENSG00000078177",581,793,813,896,536,537,233,424,346,376,258,98
"ENSG00000078237",57,42,35,41,41,31,9,13,18,15,17,8
"ENSG00000078246",1205,1302,1485,1260,926,923,725,994,784,822,760,377
"ENSG00000078269",742,913,782,777,459,640,468,668,514,462,475,225
"ENSG00000078295",57,57,144,163,78,71,51,41,85,65,39,32
"ENSG00000078304",2525,3363,3816,4028,2606,2659,1736,3308,2108,2361,2207,1470
"ENSG00000078328",0,0,1,4,0,0,3,7,1,0,0,0
"ENSG00000078369",6332,7362,9141,8181,5733,6064,4447,7804,5816,5962,5590,2970
"ENSG00000078399",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000078401",26,50,34,47,60,45,33,39,33,18,32,39
"ENSG00000078403",777,993,1202,1230,892,799,480,680,624,513,488,234
"ENSG00000078487",239,226,470,398,255,198,220,293,284,243,275,227
"ENSG00000078549",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000078579",0,1,9,5,0,2,2,8,2,3,0,3
"ENSG00000078589",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000078596",0,0,9,11,2,2,0,0,1,1,0,2
"ENSG00000078618",3042,3975,4692,4888,3342,3417,1961,3588,2519,2921,2540,1862
"ENSG00000078668",2470,3338,3977,3857,2577,2782,2135,4018,2040,2430,2394,2110
"ENSG00000078674",6724,9302,10322,11231,6858,6905,2722,5660,3733,4449,3595,2123
"ENSG00000078687",403,558,622,539,375,424,284,433,347,347,273,193
"ENSG00000078699",1202,1377,1856,1579,1269,1125,898,915,1219,920,1022,500
"ENSG00000078725",6,12,0,0,10,6,0,0,0,1,0,2
"ENSG00000078747",1906,2415,2826,2955,2001,1987,949,1575,1254,1283,1133,478
"ENSG00000078795",2,2,12,28,9,7,1,8,6,8,2,3
"ENSG00000078804",2148,2257,1789,1464,2016,1774,2530,3288,1633,1586,1960,1279
"ENSG00000078808",3506,3558,5507,4441,3515,3884,4099,7189,4812,4988,5557,4933
"ENSG00000078814",30,45,90,49,45,20,37,70,51,67,41,44
"ENSG00000078898",1,0,0,4,10,6,8,8,9,4,1,1
"ENSG00000078900",2458,2860,3441,3180,2076,2261,2221,3504,2726,2519,2517,1659
"ENSG00000078902",2704,2699,3721,2890,2368,2643,2746,4456,3285,3193,3441,2321
"ENSG00000078967",204,216,312,278,151,239,204,315,247,256,253,185
"ENSG00000079101",10,16,61,65,40,28,20,12,52,27,62,14
"ENSG00000079102",0,0,0,0,0,0,0,0,1,0,0,3
"ENSG00000079112",2,0,0,2,0,1,1,1,0,0,0,0
"ENSG00000079134",385,536,618,597,607,525,283,394,279,206,303,295
"ENSG00000079150",28,41,31,64,31,37,11,54,33,38,24,31
"ENSG00000079156",947,1239,1444,1275,808,766,261,404,508,554,680,331
"ENSG00000079215",663,665,421,400,1370,1222,378,413,275,210,285,171
"ENSG00000079246",6247,8530,9066,9851,6228,6952,3797,7176,4907,5454,5147,3241
"ENSG00000079257",535,579,974,933,662,649,341,651,423,526,563,399
"ENSG00000079263",11,8,11,11,9,7,8,13,6,6,5,8
"ENSG00000079277",407,681,652,644,412,577,341,610,380,453,342,351
"ENSG00000079308",708,909,1133,938,1152,1223,872,1056,922,639,560,464
"ENSG00000079313",870,889,1302,970,746,969,725,1308,1042,1000,919,635
"ENSG00000079332",1650,1996,2431,2248,1570,1468,1161,2011,1434,1427,1448,1073
"ENSG00000079335",1241,1540,1968,1850,851,815,820,1435,754,820,731,299
"ENSG00000079337",111,160,126,109,288,254,174,182,133,99,136,137
"ENSG00000079385",305,329,272,207,417,352,197,147,178,164,280,70
"ENSG00000079387",434,685,644,775,450,573,319,511,332,373,297,198
"ENSG00000079393",2,0,2,1,6,8,3,10,2,5,4,2
"ENSG00000079432",2617,2805,3774,3296,2518,2706,2232,2860,3205,2682,2661,1610
"ENSG00000079435",254,271,362,373,242,257,335,511,329,404,376,370
"ENSG00000079459",4434,5023,6336,5738,4164,4257,3299,6155,4117,5041,4221,3552
"ENSG00000079462",509,477,754,719,345,380,732,1059,692,681,810,960
"ENSG00000079482",412,528,732,576,436,388,260,240,336,296,296,113
"ENSG00000079557",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000079616",653,997,1097,1080,638,867,682,1533,644,990,713,1039
"ENSG00000079689",0,0,0,0,0,0,3,0,0,0,0,0
"ENSG00000079691",977,1222,1345,1168,964,1085,519,1016,761,685,693,306
"ENSG00000079739",968,1203,1335,1256,840,1020,1064,1805,1015,1021,1054,806
"ENSG00000079785",1907,2508,3049,2899,1979,2261,1555,3257,1686,2035,1726,1608
"ENSG00000079805",4502,4677,6441,5770,4295,4751,3808,6253,4841,4300,4559,2690
"ENSG00000079819",230,390,525,690,316,512,333,632,318,392,256,191
"ENSG00000079841",626,630,1393,1018,510,439,216,303,727,552,496,165
"ENSG00000079931",0,0,2,0,0,0,0,1,1,5,1,2
"ENSG00000079950",1411,1655,1976,1908,1439,1393,761,1255,945,940,965,539
"ENSG00000079974",1942,3002,4173,3824,2459,2452,2118,2703,2198,2446,2030,1310
"ENSG00000079999",2340,2324,3280,2730,2071,2186,2373,4007,2739,2819,3179,2600
"ENSG00000080007",3,15,17,23,9,15,46,68,4,8,10,11
"ENSG00000080031",29,56,58,87,71,65,69,80,58,68,63,67
"ENSG00000080166",1,5,20,8,5,0,2,1,5,1,5,2
"ENSG00000080189",1260,1321,1882,1474,1283,1312,1388,2137,1444,1435,1563,1335
"ENSG00000080200",834,972,1040,1083,935,741,218,392,515,379,429,58
"ENSG00000080224",2,1,4,1,2,1,0,0,0,0,0,0
"ENSG00000080293",21,15,7,2,10,10,7,6,4,2,3,1
"ENSG00000080298",2715,3223,4033,3433,2402,2137,914,1620,1344,1297,1147,519
"ENSG00000080345",974,1230,1336,1512,982,948,349,616,621,536,521,261
"ENSG00000080371",1182,1211,1455,1430,1060,1108,733,1296,894,896,908,567
"ENSG00000080493",127,90,1009,749,482,298,23,28,373,182,283,56
"ENSG00000080503",3996,5014,6622,6269,3795,4202,2295,4526,3606,3805,2848,1782
"ENSG00000080511",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000080546",1024,1179,1231,1291,925,999,570,1053,591,615,541,319
"ENSG00000080561",446,549,591,493,464,430,185,265,296,263,266,72
"ENSG00000080572",771,779,1195,1020,641,497,496,798,514,599,577,347
"ENSG00000080573",189,132,103,123,118,94,74,113,72,85,146,121
"ENSG00000080603",280,285,353,338,261,221,125,130,219,147,132,73
"ENSG00000080608",660,805,884,981,651,704,377,821,427,542,450,486
"ENSG00000080618",0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000080644",1,3,4,12,0,2,2,1,3,5,6,0
"ENSG00000080709",0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000080802",673,812,937,750,611,567,345,495,471,458,409,184
"ENSG00000080815",2391,2920,3381,3158,2332,2371,1377,2232,1708,1739,1731,875
"ENSG00000080819",583,608,762,765,553,606,374,607,388,425,378,279
"ENSG00000080822",714,1070,911,1092,985,923,411,667,513,434,452,305
"ENSG00000080823",1405,1661,1926,1365,1261,1256,1254,2006,1098,959,1060,1067
"ENSG00000080824",44016,35382,67803,43657,45865,30727,23936,34975,25614,23729,29738,14095
"ENSG00000080839",156,223,236,276,168,167,93,173,115,123,112,91
"ENSG00000080845",1801,2012,2133,1825,1447,1577,1428,1938,1667,1364,1672,803
"ENSG00000080854",6,5,10,6,16,9,1,4,8,5,7,2
"ENSG00000080910",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000080986",57,175,145,198,70,128,68,236,49,152,59,218
"ENSG00000081014",431,574,664,686,523,569,231,370,267,311,316,129
"ENSG00000081019",631,688,983,870,643,640,286,555,543,489,377,214
"ENSG00000081026",1194,1597,1573,1447,1323,1121,689,1253,774,753,718,234
"ENSG00000081041",56,118,88,50,93,108,36,96,48,47,49,48
"ENSG00000081051",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000081052",9,2,14,8,14,18,3,6,9,4,2,2
"ENSG00000081059",234,325,404,287,338,340,187,285,205,191,179,82
"ENSG00000081087",498,500,527,526,492,506,240,457,280,355,256,216
"ENSG00000081138",0,0,4,2,0,0,0,1,3,0,1,1
"ENSG00000081148",25,37,58,19,69,36,21,13,24,14,13,6
"ENSG00000081154",1859,1975,2723,2747,1981,1799,1445,2567,1512,1647,1454,990
"ENSG00000081177",912,1138,1686,1563,977,955,450,731,836,807,778,327
"ENSG00000081181",25,19,22,28,43,42,23,32,38,71,43,25
"ENSG00000081189",0,1,0,0,0,0,0,1,0,0,0,0
"ENSG00000081237",0,3,0,0,0,0,0,0,0,0,0,1
"ENSG00000081248",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000081277",12034,13650,10250,9715,8648,9977,8865,12720,9302,8448,10064,6320
"ENSG00000081307",638,959,937,1153,792,857,463,914,440,496,446,389
"ENSG00000081320",591,684,814,732,543,601,294,551,442,420,436,197
"ENSG00000081377",1148,1422,2237,2275,1193,1321,714,1220,1268,1345,1025,389
"ENSG00000081386",302,463,472,467,338,316,186,277,213,201,183,59
"ENSG00000081479",4,18,2,30,5,6,2,13,11,16,1,5
"ENSG00000081665",432,534,602,535,500,406,308,426,295,300,348,191
"ENSG00000081692",141,130,224,190,130,144,147,248,218,160,219,226
"ENSG00000081721",267,303,333,308,264,187,224,569,250,261,259,256
"ENSG00000081760",1285,1477,1942,1525,1120,1179,1262,1888,1595,1410,1697,1158
"ENSG00000081791",1116,1557,2225,2005,1575,1693,1101,2132,1713,1641,1595,1151
"ENSG00000081800",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000081803",543,687,1329,1315,819,727,274,436,820,650,586,229
"ENSG00000081818",36,26,264,310,93,69,9,18,117,193,152,76
"ENSG00000081842",0,4,20,8,11,6,4,5,4,14,11,4
"ENSG00000081853",74,82,36,30,23,27,9,12,23,16,27,5
"ENSG00000081870",798,871,1563,1313,880,754,676,1447,602,905,719,896
"ENSG00000081913",995,1094,1576,1484,799,810,552,992,970,860,889,285
"ENSG00000081923",3191,3772,5680,4989,3344,3261,1226,1917,2686,2385,2395,702
"ENSG00000081985",43,126,35,40,32,99,26,64,9,25,14,13
"ENSG00000082014",312,350,620,386,362,302,474,570,461,382,427,538
"ENSG00000082068",488,702,761,849,522,618,407,876,453,598,511,574
"ENSG00000082074",56,44,11,18,78,95,10,19,22,11,9,21
"ENSG00000082126",1,8,3,3,12,6,10,3,4,8,0,13
"ENSG00000082146",197,299,284,316,230,236,144,262,187,144,146,119
"ENSG00000082153",4231,5462,6143,7083,4680,5272,2613,5527,3253,3896,3182,2009
"ENSG00000082175",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000082196",11,35,27,32,23,14,12,42,8,23,15,29
"ENSG00000082212",857,985,1377,1137,838,807,503,913,677,659,665,245
"ENSG00000082213",538,710,753,781,529,622,258,653,359,416,333,218
"ENSG00000082258",873,1247,1347,1322,1294,1191,497,736,611,535,512,243
"ENSG00000082269",765,952,1001,1176,822,872,387,600,511,423,382,158
"ENSG00000082293",0,0,0,1,2,2,0,0,0,3,0,1
"ENSG00000082397",4,10,11,6,45,15,4,3,1,0,7,2
"ENSG00000082438",844,1277,896,1124,1022,1102,384,608,513,563,401,240
"ENSG00000082458",1820,2249,2602,2610,1782,2336,1227,2386,1532,1838,1542,1247
"ENSG00000082482",0,3,0,0,0,0,0,0,0,1,0,0
"ENSG00000082497",1046,1465,1788,2042,1177,1083,543,850,1066,1016,961,452
"ENSG00000082512",97,156,194,276,117,167,116,212,145,109,93,83
"ENSG00000082515",441,509,547,552,370,431,383,746,313,531,368,454
"ENSG00000082516",388,501,636,567,427,409,217,356,373,357,327,193
"ENSG00000082556",0,0,0,0,0,0,0,1,3,0,0,4
"ENSG00000082641",7911,7693,9463,6925,7637,7555,5487,8091,6920,5946,6624,3571
"ENSG00000082684",16,21,1,2,0,1,2,4,5,3,0,5
"ENSG00000082701",2100,2452,2631,2696,2069,2022,871,1388,1350,1266,1143,471
"ENSG00000082781",1780,2057,2509,2366,1601,1811,1918,3203,2076,2091,1975,1467
"ENSG00000082805",1055,1166,1701,1411,877,829,821,1023,911,834,805,392
"ENSG00000082898",3098,3553,4920,4598,3775,3103,1783,2681,2540,2054,2231,1119
"ENSG00000082996",1446,1688,1739,2052,1497,1437,845,1711,896,1111,1075,652
"ENSG00000083067",7,7,2,12,11,6,8,11,8,2,6,5
"ENSG00000083093",370,453,474,490,383,400,208,353,301,309,291,149
"ENSG00000083097",783,1283,1358,1519,1046,1038,339,472,553,495,441,160
"ENSG00000083099",1265,1545,1603,1445,1128,1145,702,1363,756,913,841,532
"ENSG00000083123",394,526,633,667,465,512,276,579,330,475,467,273
"ENSG00000083168",2268,2616,2958,2777,2077,2032,964,1050,1550,1187,1096,367
"ENSG00000083223",1060,1491,1553,1410,1111,1085,548,838,735,574,580,293
"ENSG00000083290",865,983,1564,1255,876,733,654,797,951,841,754,342
"ENSG00000083307",3014,3671,4857,4415,2964,3032,1854,2834,3037,2595,2628,1165
"ENSG00000083312",2402,2599,2997,2967,2677,2358,966,1394,1405,1177,1120,518
"ENSG00000083444",759,748,1298,833,889,848,879,1108,1272,900,1207,714
"ENSG00000083454",0,0,4,0,3,0,0,0,8,1,0,1
"ENSG00000083457",198,211,263,230,187,176,199,378,165,182,172,258
"ENSG00000083520",1360,1629,1587,1737,1554,1445,674,1165,871,752,863,441
"ENSG00000083535",1053,1410,1305,1440,905,843,484,1133,516,617,455,297
"ENSG00000083544",420,465,600,541,371,426,319,456,334,318,309,271
"ENSG00000083635",197,238,232,258,190,202,115,313,172,142,170,134
"ENSG00000083642",629,923,984,920,728,647,273,576,473,449,379,234
"ENSG00000083720",678,714,1133,959,758,715,476,841,618,669,538,299
"ENSG00000083750",280,361,544,458,392,313,222,435,276,260,299,229
"ENSG00000083782",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000083799",1607,2012,1765,1899,1702,1708,852,1350,1156,949,1029,520
"ENSG00000083807",89,92,156,136,100,61,119,189,141,146,126,202
"ENSG00000083812",388,405,501,429,317,402,296,506,366,358,351,193
"ENSG00000083814",141,129,307,237,128,95,167,205,179,124,179,116
"ENSG00000083817",141,151,175,184,144,127,93,164,117,127,135,75
"ENSG00000083828",165,168,309,213,167,153,136,207,152,104,154,91
"ENSG00000083838",254,275,423,391,294,287,257,469,334,328,376,306
"ENSG00000083844",1249,1290,1766,1688,1159,1106,805,879,873,769,1090,271
"ENSG00000083845",9159,11758,14730,15297,8661,10411,13461,28293,12062,16500,15146,24967
"ENSG00000083857",3667,4503,3676,3709,4260,4358,1132,1533,2213,1906,2383,683
"ENSG00000083896",2076,2804,3250,2975,2388,2261,1755,2908,1788,1725,1582,1156
"ENSG00000083937",1077,1419,1440,1761,1200,1204,632,1262,731,955,789,496
"ENSG00000084070",1583,2014,2176,2298,1511,1759,812,1440,1147,1388,1290,628
"ENSG00000084072",841,934,1318,1172,840,967,777,1465,837,717,885,949
"ENSG00000084073",1512,1961,2048,1868,1589,1508,677,1337,903,1039,1015,435
"ENSG00000084090",3678,4648,5169,5297,3340,3772,3232,5496,3555,3588,3527,2583
"ENSG00000084092",1498,1791,2262,2170,1437,1695,1512,2652,1694,1868,1840,1126
"ENSG00000084093",1510,1799,1994,2135,1542,1498,748,1180,1062,917,915,377
"ENSG00000084110",5,6,9,17,4,12,4,13,1,7,3,2
"ENSG00000084112",944,1164,1760,1440,1303,1370,712,934,1155,822,796,390
"ENSG00000084207",26154,27985,36537,33107,18143,20604,34691,60334,29059,33567,37672,42512
"ENSG00000084234",13450,16937,19779,20496,15835,17476,8078,15443,11706,13056,12307,5478
"ENSG00000084444",162,177,160,158,156,131,88,113,128,90,142,61
"ENSG00000084453",0,0,0,0,0,0,0,1,0,0,2,0
"ENSG00000084463",2114,2823,3030,3239,2009,2281,1429,2842,1698,2060,1784,1061
"ENSG00000084623",2476,2767,3468,3087,2118,2529,2653,4994,2578,3088,3101,3232
"ENSG00000084628",3,1,0,0,0,0,0,0,0,0,0,1
"ENSG00000084636",1287,984,725,547,1270,1225,915,1145,585,455,599,738
"ENSG00000084652",2797,2753,3827,3151,2452,2468,1830,2798,2405,2146,2388,1522
"ENSG00000084674",3,1,1,0,0,4,0,0,1,1,1,0
"ENSG00000084676",906,1178,1633,1708,935,968,539,778,948,958,810,348
"ENSG00000084693",1680,1779,2251,1981,1450,1693,1203,2299,1389,1679,1513,1137
"ENSG00000084710",24,13,40,35,20,29,13,24,20,20,11,8
"ENSG00000084731",133,121,523,419,194,174,210,190,334,269,286,116
"ENSG00000084733",5400,5448,6484,6108,5351,5030,2941,4937,3823,3507,3915,1646
"ENSG00000084734",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000084754",4195,5447,5572,5740,3848,4527,3756,7022,3860,4471,4293,3952
"ENSG00000084764",1902,2148,3053,2486,1868,1899,1618,2671,1712,1844,1824,1141
"ENSG00000084774",870,1084,1218,1310,1084,1056,731,1209,1014,889,811,634
"ENSG00000085063",11712,12030,18155,15358,12770,10739,7540,11988,9779,9751,11001,7129
"ENSG00000085117",4905,4384,5257,3935,4274,4965,3758,6808,4121,4480,4861,2986
"ENSG00000085185",277,230,408,282,219,204,175,215,328,195,256,73
"ENSG00000085224",1840,2512,2755,2767,2274,1928,784,1218,1360,1096,924,419
"ENSG00000085231",262,306,385,372,229,251,177,356,175,220,181,187
"ENSG00000085265",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000085274",303,370,392,477,343,260,215,333,227,234,206,171
"ENSG00000085276",2624,3282,4702,4882,2924,2618,1301,2297,2264,2230,1822,808
"ENSG00000085365",1592,1562,1932,1897,1455,1353,633,1194,852,924,847,268
"ENSG00000085377",900,1173,1214,1258,968,1024,598,1000,823,757,822,473
"ENSG00000085382",235,358,355,448,257,294,120,301,219,240,149,115
"ENSG00000085415",639,729,826,863,667,689,345,796,464,491,441,327
"ENSG00000085433",992,1048,1580,1470,1059,1028,465,829,705,701,629,229
"ENSG00000085449",2394,2767,3167,3085,2291,2303,1211,2235,1629,1686,1458,623
"ENSG00000085465",46,136,72,206,51,152,51,171,76,91,56,157
"ENSG00000085491",1466,1462,2192,2171,1485,1343,677,1246,1020,1029,885,404
"ENSG00000085511",862,1067,1311,1172,920,845,578,927,755,796,676,457
"ENSG00000085514",13,19,13,9,24,21,16,42,17,6,6,6
